entity_count,bbox_entity_count,line_count,polyline_count,text_count,insert_count,circle_count,arc_count,cad_min_x,cad_min_y,cad_max_x,cad_max_y,cad_width,cad_height,cad_area,cad_aspect_ratio,x_cluster_count,y_cluster_count,max_x_gap_ratio,max_y_gap_ratio,drawing_key,drawing_id,phase,batch,split,raw_json_path,png_path,png_width,png_height,png_error,png_file_size,hard_reject_reasons,review_flags,needs_panel_split,round2_keep
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P1_staging/110KV平面图,110KV平面图,P1,_P1_staging,train,datas/raw_json/_P1_staging/110KV平面图.json,datas/qa_and_png/P1_oda_output/110KV平面图.png,9362,6619,,132727,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P1_staging/110KV母线安装平断面图（施工图）,110KV母线安装平断面图（施工图）,P1,_P1_staging,train,datas/raw_json/_P1_staging/110KV母线安装平断面图（施工图）.json,datas/qa_and_png/P1_oda_output/110KV母线安装平断面图（施工图）.png,9362,6619,,261696,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P1_staging/110KV管母线棒型绝缘子安装(施工图),110KV管母线棒型绝缘子安装(施工图),P1,_P1_staging,test,datas/raw_json/_P1_staging/110KV管母线棒型绝缘子安装(施工图).json,datas/qa_and_png/P1_oda_output/110KV管母线棒型绝缘子安装(施工图).png,9362,6619,,184743,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P1_staging/SZL10主接线图,SZL10主接线图,P1,_P1_staging,train,datas/raw_json/_P1_staging/SZL10主接线图.json,datas/qa_and_png/P1_oda_output/SZL10主接线图.png,8569,6622,,165383,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P1_staging/主变进线(施工图),主变进线(施工图),P1,_P1_staging,train,datas/raw_json/_P1_staging/主变进线(施工图).json,datas/qa_and_png/P1_oda_output/主变进线(施工图).png,9362,6620,,169482,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P2_staging/变电站一次设备间隔图wm666.taobao.com,变电站一次设备间隔图wm666.taobao.com,P2,_P2_staging,train,datas/raw_json/_P2_staging/变电站一次设备间隔图wm666.taobao.com.json,datas/qa_and_png/P2_oda_output/变电站一次设备间隔图wm666.taobao.com.png,9362,6619,,315824,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P2_staging/变电站二次设备间隔图wm666.taobao.com,变电站二次设备间隔图wm666.taobao.com,P2,_P2_staging,train,datas/raw_json/_P2_staging/变电站二次设备间隔图wm666.taobao.com.json,datas/qa_and_png/P2_oda_output/变电站二次设备间隔图wm666.taobao.com.png,9362,6619,,348992,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P3_staging_batch2/12继电保护屏设备布置图,12继电保护屏设备布置图,P3,_P3_staging_batch2,train,datas/raw_json/_P3_staging_batch2/12继电保护屏设备布置图.json,datas/qa_and_png/P3_oda_output/12继电保护屏设备布置图.png,9362,6618,,193673,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P3_staging_batch2/13继电保护屏端子图,13继电保护屏端子图,P3,_P3_staging_batch2,train,datas/raw_json/_P3_staging_batch2/13继电保护屏端子图.json,datas/qa_and_png/P3_oda_output/13继电保护屏端子图.png,4680,6622,,145793,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P3_staging_batch2/14电炉变压器保护原理图,14电炉变压器保护原理图,P3,_P3_staging_batch2,train,datas/raw_json/_P3_staging_batch2/14电炉变压器保护原理图.json,datas/qa_and_png/P3_oda_output/14电炉变压器保护原理图.png,9362,6616,,265794,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,_P3_staging_batch2/16卷扬布置及外部接线图,16卷扬布置及外部接线图,P3,_P3_staging_batch2,test,datas/raw_json/_P3_staging_batch2/16卷扬布置及外部接线图.json,datas/qa_and_png/P3_oda_output/16卷扬布置及外部接线图.png,9362,6618,,175793,empty_entities;degenerate_cad_bbox,low_entity_count;low_line_geometry;no_text,False,False
