entity_count,bbox_entity_count,line_count,polyline_count,text_count,insert_count,circle_count,arc_count,cad_min_x,cad_min_y,cad_max_x,cad_max_y,cad_width,cad_height,cad_area,cad_aspect_ratio,x_cluster_count,y_cluster_count,max_x_gap_ratio,max_y_gap_ratio,drawing_key,drawing_id,phase,batch,split,raw_json_path,png_path,png_width,png_height,png_error,png_file_size,hard_reject_reasons,review_flags,needs_panel_split,round2_keep
2802,2802,517,337,95,1836,17,0,-6161694.895883944,757584.199939691,-3059444.41133451,1518793.367071757,3102250.484549434,761209.1671320661,2361461507578.923,4.075424493687434,2,2,0.982771974351151,0.9909645981568515,_P1_staging/001 220kV变电站电气主接线图,001 220kV变电站电气主接线图,P1,_P1_staging,train,datas/raw_json/_P1_staging/001 220kV变电站电气主接线图.json,datas/qa_and_png/P1_oda_output/001 220kV变电站电气主接线图.png,9362,6622,,21758,,multi_panel_candidate,True,True
27341,27314,9641,13812,1708,16,978,1159,644.1276767834097,107.9511910114608,4697.1376050089,2105.628761998378,4053.0099282254905,1997.6775709869173,8096607.028603358,2.0288609068295105,1,2,0.16184939586932828,0.18377112136428755,_P1_staging/02-主接线wm666.taobao.com,02-主接线wm666.taobao.com,P1,_P1_staging,train,datas/raw_json/_P1_staging/02-主接线wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/02-主接线wm666.taobao.com.png,9362,6622,,197202,,huge_entity_count;multi_panel_candidate,True,True
4281,4277,582,1159,2409,1,124,2,-1025.625551370509,-61559.7734596287,501251.1784532215,34777.57556194806,502276.804004592,96337.34902157675,48388015772.83248,5.213728726250259,1,2,0.05308255256692616,0.37097131734204175,_P1_staging/05电气主接线,05电气主接线,P1,_P1_staging,train,datas/raw_json/_P1_staging/05电气主接线.json,datas/qa_and_png/P1_oda_output/05电气主接线.png,9362,6622,,224752,,multi_panel_candidate,True,True
1313,1311,397,249,654,7,0,4,0.0,0.0,863.006,297.0,863.006,297.0,256312.78199999998,2.9057441077441077,2,1,0.41860427389844346,0.06094276094276102,_P1_staging/110Kv变电站直流系统接线图,110Kv变电站直流系统接线图,P1,_P1_staging,val,datas/raw_json/_P1_staging/110Kv变电站直流系统接线图.json,datas/qa_and_png/P1_oda_output/110Kv变电站直流系统接线图.png,9362,6622,,227192,,multi_panel_candidate,True,True
1312,1310,397,249,654,6,0,4,0.0,0.0,863.006,297.0,863.006,297.0,256312.78199999998,2.9057441077441077,2,1,0.41860427389844346,0.06094276094276102,_P1_staging/110Kv变电站直流系统接线图wm666.taobao.com,110Kv变电站直流系统接线图wm666.taobao.com,P1,_P1_staging,train,datas/raw_json/_P1_staging/110Kv变电站直流系统接线图wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/110Kv变电站直流系统接线图wm666.taobao.com.png,9362,6622,,225174,,multi_panel_candidate,True,True
5275,5007,3023,503,898,437,129,17,-2337.362955176594,4057.843492446816,2656.0,4729.843492446816,4993.3629551765935,671.9999999999995,3355539.9058786687,7.430599635679459,2,1,0.7682944180714208,0.03205246913934245,_P1_staging/110kV变电站GIS布置平面图,110kV变电站GIS布置平面图,P1,_P1_staging,train,datas/raw_json/_P1_staging/110kV变电站GIS布置平面图.json,datas/qa_and_png/P1_oda_output/110kV变电站GIS布置平面图.png,9362,6622,,322994,,multi_panel_candidate,True,True
5274,5006,3023,503,898,436,129,17,-2337.362955176594,4057.843492446816,2656.0,4729.843492446816,4993.3629551765935,671.9999999999995,3355539.9058786687,7.430599635679459,2,1,0.7682944180714208,0.03205246913934245,_P1_staging/110kV变电站GIS布置平面图wm666.taobao.com,110kV变电站GIS布置平面图wm666.taobao.com,P1,_P1_staging,train,datas/raw_json/_P1_staging/110kV变电站GIS布置平面图wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/110kV变电站GIS布置平面图wm666.taobao.com.png,9362,6622,,322189,,multi_panel_candidate,True,True
10024,9862,7054,58,496,1,796,1457,-716655.7118778423,-204799.682870992,-24798.6881932239,110347.5798471008,691857.0236846184,315147.26271809277,218036847206.49417,2.1953451783698408,2,2,0.3346019864445562,0.3691323447903726,_P1_staging/110kV变电站总平面及竖向布置图,110kV变电站总平面及竖向布置图,P1,_P1_staging,train,datas/raw_json/_P1_staging/110kV变电站总平面及竖向布置图.json,datas/qa_and_png/P1_oda_output/110kV变电站总平面及竖向布置图.png,9362,6622,,90662,,multi_panel_candidate,True,True
1161,1161,565,31,520,34,11,0,0.0,-2363.200051581118,7826.658158906401,187.8907711048905,7826.658158906401,2551.0908226860083,19966515.80148669,3.067965314800443,3,2,0.42197052837643895,0.4016636299152714,_P1_staging/110kv安斑东线、西线竣工图设计wm666.taobao.com,110kv安斑东线、西线竣工图设计wm666.taobao.com,P1,_P1_staging,test,datas/raw_json/_P1_staging/110kv安斑东线、西线竣工图设计wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/110kv安斑东线、西线竣工图设计wm666.taobao.com.png,9362,6622,,113766,,multi_panel_candidate,True,True
2386,2386,1804,42,388,0,152,0,334.8395506929774,99.77721083899064,2331.208029632084,417.4866932730754,1996.3684789391068,317.70948243408475,634265.1961914647,6.283628878950108,2,1,0.18530664462298202,0.07602698835077956,_P1_staging/主变保护测控屏屏面布置图及元件表,主变保护测控屏屏面布置图及元件表,P1,_P1_staging,val,datas/raw_json/_P1_staging/主变保护测控屏屏面布置图及元件表.json,datas/qa_and_png/P1_oda_output/主变保护测控屏屏面布置图及元件表.png,9362,6622,,79060,,multi_panel_candidate,True,True
898,814,320,26,426,24,18,0,-4.5218485e-08,-348.8935237001434,608.9647879942011,239.173536710269,608.9647880394195,588.0670604104124,358112.1327957913,1.0355363002553188,1,2,0.06661598598980273,0.19597409579591227,_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com,主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com,P1,_P1_staging,train,datas/raw_json/_P1_staging/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/主变压器35kV侧断路器在PWFXH-1111上的端子排(B066-500-1215)wm666.taobao.com.png,6622,9362,,131377,,multi_panel_candidate,True,True
1315,1315,482,33,656,91,53,0,0.0,-41.51463716914611,908.5815654891501,420.0,908.5815654891501,461.5146371691461,419323.6915352999,1.9686950148802171,2,1,0.1884512049895375,0.010833892573091867,_P1_staging/主变进线柜原理图,主变进线柜原理图,P1,_P1_staging,train,datas/raw_json/_P1_staging/主变进线柜原理图.json,datas/qa_and_png/P1_oda_output/主变进线柜原理图.png,9362,6622,,221308,,multi_panel_candidate,True,True
