drawing_key,drawing_id,phase,batch,split,watermark_candidate,watermark_confidence,metadata_hits,json_text_hits,text_entity_count,json_error,raw_json_path,png_path
_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com,#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,1225,,datas/raw_json/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.png
_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com,#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,1374,,datas/raw_json/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.png
_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com,#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,1170,,datas/raw_json/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.png
_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com,#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,789,,datas/raw_json/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.png
_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com,#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,443,,datas/raw_json/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.png
_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com,#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,480,,datas/raw_json/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.png
_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com,#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,1899,,datas/raw_json/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.png
_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com,#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,5414,,datas/raw_json/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.png
_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com,#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com,P1,_P1_staging,val,True,medium,taobao;wm666,,1312,,datas/raw_json/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.png
_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com,#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,2702,,datas/raw_json/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.png
_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com,#2主变测量计度回路(B066-500-0201)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,912,,datas/raw_json/_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.png
_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com,#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,870,,datas/raw_json/_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com.png
_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com,#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,784,,datas/raw_json/_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com.png
_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com,#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,1313,,datas/raw_json/_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com.png
_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com,01-110KV屋外配电装置配置接线图wm666.taobao.com,P1,_P1_staging,train,True,medium,taobao;wm666,,163,,datas/raw_json/_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com.json,datas/qa_and_png/P1_oda_output/01-110KV屋外配电装置配置接线图wm666.taobao.com.png
