drawing_key,split,phase,raw_json_path,normalized_json_path,entity_count,bbox_entity_count,text_count,type_count_json,drawing_bbox
_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变220kV侧DL机构二次接线图(B066-500-0301)wm666.taobao.com.normalized.json,3200,3198,1225,"{""INSERT"": 66, ""LINE"": 833, ""LWPOLYLINE"": 1074, ""SOLID"": 2, ""TEXT"": 1225}","-25.0,-344.0539,1250.8419,558.7291"
_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变220kV侧DL端子箱二次安装图(B066-500-0308)wm666.taobao.com.normalized.json,8133,7147,1374,"{""CIRCLE"": 100, ""HATCH"": 986, ""INSERT"": 59, ""LINE"": 4984, ""LWPOLYLINE"": 630, ""TEXT"": 1374}","-49.3622,-347.2136,806.3731,558.8364"
_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变35kV侧DL机构二次接线图(B066-500-0304)wm666.taobao.com.normalized.json,3516,3410,1170,"{""CIRCLE"": 366, ""HATCH"": 104, ""INSERT"": 9, ""LINE"": 1247, ""LWPOLYLINE"": 618, ""SOLID"": 2, ""TEXT"": 1170}","-25.0,-350.2307,816.6342,559.2234"
_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变35kV侧DL端子箱二次安装图(B066-500-0309)wm666.taobao.com.normalized.json,3525,3131,789,"{""CIRCLE"": 46, ""HATCH"": 394, ""INSERT"": 6, ""LINE"": 2109, ""LWPOLYLINE"": 181, ""TEXT"": 789}","-28.0934,-327.3572,584.2392,396.7494"
_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变500kV侧PT二次接线和安装图(B066-500-0307)wm666.taobao.com.normalized.json,1698,1602,443,"{""ARC"": 14, ""CIRCLE"": 66, ""HATCH"": 96, ""INSERT"": 30, ""LINE"": 695, ""LWPOLYLINE"": 354, ""TEXT"": 443}","-25.2328,-334.7819,559.0,389.1462"
_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变录波柜二次接线图(B066-500-0215)wm666.taobao.com.normalized.json,1520,1520,480,"{""CIRCLE"": 28, ""INSERT"": 118, ""LINE"": 460, ""LWPOLYLINE"": 434, ""TEXT"": 480}","-26.9006,-336.1797,542.2498,384.3762"
_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变录波柜端子排图(B066-500-0219)wm666.taobao.com.normalized.json,3401,3273,1899,"{""CIRCLE"": 66, ""HATCH"": 38, ""INSERT"": 78, ""LINE"": 1162, ""LWPOLYLINE"": 66, ""SOLID"": 90, ""TEXT"": 1901}","-25.0,-340.2083,1691.385,1643.4128"
_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变本体总控制箱端子排图(B066-500-0310)wm666.taobao.com.normalized.json,9222,9006,5414,"{""ARC"": 36, ""CIRCLE"": 46, ""HATCH"": 216, ""INSERT"": 27, ""LINE"": 3153, ""LWPOLYLINE"": 330, ""TEXT"": 5414}","-26.2262,-320.869,818.7589,541.923"
_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com,val,P1,datas/raw_json/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变测控单元控制信号回路(B066-500-0202)wm666.taobao.com.normalized.json,4783,4783,1312,"{""CIRCLE"": 54, ""INSERT"": 323, ""LINE"": 1500, ""LWPOLYLINE"": 1594, ""TEXT"": 1312}","-25.0,-345.9343,999.2498,565.1927"
_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com,train,P1,datas/raw_json/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.json,outputs/normalized_geometry/_P1_staging/#2主变测控柜A16端子排图(B066-500-0218)wm666.taobao.com.normalized.json,7226,6830,2702,"{""CIRCLE"": 12, ""HATCH"": 396, ""INSERT"": 4, ""LINE"": 3911, ""LWPOLYLINE"": 201, ""TEXT"": 2702}","-25.3524,-332.9726,1178.3715,397.9096"
